Hospital_ID,Hospital_Name,Address,City,State,Zip_Code,Bed_Count,Hospital_Type,Rating,Accreditation,Phone
HOSP00131,City Health Clinic,326 Hill Ave,,FL,89879,373,Teaching,3.2,Joint Commission,(300) 772-1407
HOSP00132,St. Mary Medical Center,5034 Hill Ave,Dallas,MI,95826,1125,Psychiatric ,n/a,joint commission,(700) 699-1202
HOSP00133,Community Hospital ,7199 Park Ave,New York,MA,,80,General,3.3,Joint Commission,(713) 434-2801
HOSP00134,Regional Medical Center,2155 Hill St,Chicago,NJ,87589,629,Rehabilitation,2.9,joint commission,(210) 716-1817
HOSP00135,Lakeside Health,1395 Lake St,New York,MA,39327,1045,Community,2.8,JCI,(902) 408-7827
HOSP00136,Community Hospital,7777 Main St,Dallas,GA,46812,363,General,1.4,Joint Commission,(747) 413-7536
HOSP00137,,4453 Hill Ave,New York,AZ,79732,80,General,2.5,joint commission,(307) 701-4009
HOSP00138,,9989 Hill Ave,New York,NC,36612,51,Teaching,1.4,Joint Commission,(881) 413-1963
HOSP00139,Lakeside Health,1282 Park Ave,Chicago,TX,52524,862,Psychiatric,2.5,DNV,(794) 542-7304
HOSP00140,Community Hospital,2459 Main St,Dallas,IL,76266,986,General,1.1,DNV,(765) 808-9750
HOSP00141,Metro Medical Center,3776 Oak St,Phoenix,MA,63486,,Community,1.3,joint commission,(722) 127-3618
HOSP00142,General Hospital,2882 Hill St,Houston,OH,21915,278,Community,1.9,JCI,(214) 119-3765
HOSP00143,Metro Medical Center,514 Main St,New York,TX,63996,1121,Rehabilitation,4.2,JCI,(510) 266-1660
HOSP00144,Lakeside Health,5285 Main Ave,Phoenix,IL,13866,1038,General,,,(225) 705-2117
HOSP00145,,4869 Elm Ave,,,53573,691,General,1.8,,(667) 485-5548
HOSP00146,Mercy Hospital,8084 Elm Ave,Houston,OH ,47463,181,Teaching,1.4,DNV,(746) 749-4557
HOSP00147,Sunrise Medical,8324 Elm St,Chicago,NJ,35176,1025,Psychiatric ,4.8,DNV,(283) 998-4660
HOSP00148,Sunrise Medical,6959 Elm Ave,,GA,11506,1124,Psychiatric,4.9,joint commission,(675) 406-6052
HOSP00149,St. Mary Medical Center,1317 Main St,Phoenix,WA,24262,462,Specialty,3.6,,
HOSP00150,St. Mary Medical Center,6058 Park Ave,Los Angeles,,32394,160,Teaching,3.2,,(380) 744-6918
HOSP00151,Regional Medical Center,9000 Elm St,New York,,72299,635,Rehabilitation,2.2,JCI,(540) 303-8727
HOSP00152,Mercy Hospital,6194 Park Ave,Phoenix,NC,10696,535,General,1.8,None,(954) 258-9024
HOSP00153,General Hospital,9649 Oak Ave,Dallas,VA,96603,381,Specialty,3.7,,(971) 752-2454
HOSP00154,Regional Medical Center,7080 Elm Ave,Dallas,NJ,24556,130,Psychiatric,2.3,Joint Commission,(709) 931-7535
HOSP00155,Sunrise Medical,2659 Lake Ave,Phoenix,NC,76296,163,Rehabilitation,2.7,,(622) 270-2278
HOSP00156,Metro Medical Center,1066 Main Ave,Houston,MA,57694,614,Trauma Center,3.1,DNV,(561) 619-5939
HOSP00157,General Hospital,4474 Park St,Los Angeles,NJ ,55494,682,Teaching,2.7,CARF,(333) 233-1169
HOSP00158,City Health Clinic,7862 Hill Ave,New York,PA,30295,390,General,,joint commission,(544) 752-9231
HOSP00159,Mercy Hospital,6558 Main St,Phoenix,FL,68349,838,Community,4.8,DNV ,(815) 560-9555
HOSP00160,General Hospital,5859 Elm St,Phoenix,MA,60738,911,Specialty,3.3,,(930) 716-4617
HOSP00161,Metro Medical Center,9956 Lake Ave,Dallas,PA,82938,503,Rehabilitation,4.1,DNV,(370) 643-6093
HOSP00162,,6849 Oak St,Los Angeles,AZ,38944,382,General,2.1,None ,(358) 974-5756
HOSP00163,Valley View Hospital,7830 Oak St,,MI,44386,399,Trauma Center,2.8,JCI,(290) 822-9250
HOSP00164,SUNRISE MEDICAL,7422 Park St,Dallas,VA ,84867,924,Specialty,4.0,Joint Commission,(724) 473-1563
HOSP00165,Lakeside Health,4529 Lake Ave,Dallas,NC,53963,194,,4.9,JCI,(545) 844-9142
HOSP00166,Sunrise Medical,8943 Park Ave,Phoenix,,28106,615,Teaching,4.4,joint commission,
HOSP00167,General Hospital,2572 Park St,Houston,NC,41856,446,Community,3.3,,(539) 476-5230
HOSP00168,City Health Clinic,9807 Elm Ave,Chicago,CA,92943,253,Specialty,4.6,DNV,
HOSP00169,Lakeside Health,8951 Main Ave,Phoenix,WA,,431,Psychiatric,1.8,DNV,(847) 553-6941
HOSP00170,Sunrise Medical,3955 Lake St,Dallas ,MA,86716,530,Rehabilitation,4.7,CARF,(911) 604-8069
HOSP00171,General Hospital,7587 Hill Ave,Chicago,NJ,20343,1088,General,4.3,Joint Commission,(337) 812-5727
HOSP00172,City Health Clinic,359 Hill St,Los Angeles,NJ,26468,497,Community,N/A,DNV,(248) 890-1581
HOSP00173,MERCY HOSPITAL ,3176 Oak Ave,Los Angeles,,15496,160,Specialty,3.2,joint commission,(342) 919-1284
HOSP00174,Lakeside Health,1494 Lake Ave,Houston,GA,73848,557,,5.0,joint commission,(860) 171-1941
HOSP00175,Community Hospital,7667 Elm Ave,Los Angeles,,40077,1076,Trauma Center,1.4,,(838) 574-3860
HOSP00176,Sunrise Medical,1845 Hill St,Dallas,IL,11211,811,Specialty,2.7,Joint Commission,(758) 394-3689
HOSP00177,Community Hospital,6114 Elm Ave,Chicago,IL,98060,389,Community,1.3,,(879) 340-4873
HOSP00178,Mercy Hospital,3267 Hill Ave,Los Angeles,FL,79476,656,Trauma Center,4.9,Joint Commission,(940) 100-5005
HOSP00179,,2473 Main Ave,New York,MI,59942,703,Teaching,4.3,CARF,(598) 582-5129
HOSP00180,St. Mary Medical Center,9799 Park St,Chicago,GA,60872,340,Psychiatric,4.7,None,(786) 301-1236
HOSP00181,Mercy Hospital,4448 Park St,Phoenix,IL,98311,1009,,4.1,JCI,(587) 401-9613
HOSP00182,Metro Medical Center,6683 Main St,Dallas,MA,38985,164,,2.6,,(228) 492-6758
HOSP00183,Regional Medical Center,525 Elm St,Phoenix,NY,85089,870,Community,n/a,CARF,(781) 687-2865
HOSP00184,Lakeside Health,188 Lake Ave,Dallas,OH,37803,1090,Psychiatric,4.2,None,(853) 367-8278
HOSP00185,Community Hospital,3954 Lake St,Dallas,OH,47272,83,Specialty,4.0,JCI,(927) 998-8692
HOSP00186,Sunrise Medical,5534 Lake Ave,Chicago,NY,88591,213,General,3.4,None,(548) 620-7372
HOSP00187,Mercy Hospital,2412 Lake St,Phoenix,FL,98419,694,,2.0,CARF,(290) 585-3940
HOSP00188,,7679 Hill St,Dallas,VA,67621,730,Community,1.9,Joint Commission,(837) 682-7098
HOSP00189,Metro Medical Center,7147 Main St,Houston,NJ,23449,1056,Psychiatric,3.6,None,(566) 158-9329
HOSP00190,City Health Clinic,293 Park Ave,Phoenix,,93965,689,Community,3.2,Joint Commission,
HOSP00191,Lakeside Health,9240 Oak St,Houston,NJ,11182,688,General,1.5,None,(950) 280-5591
HOSP00192,Regional Medical Center,7728 Park St,Phoenix ,WA,27667,838,,4.6,None,(228) 307-4616
HOSP00193,Regional Medical Center,2619 Oak Ave,Los Angeles,GA,80188,,Trauma Center,3.5,joint commission,(431) 669-2866
HOSP00194,City Health Clinic,2626 Main Ave,Phoenix,,39661,1115,Psychiatric,3.8,Joint Commission,(837) 236-3796
HOSP00195,Sunrise Medical,1465 Main St,Houston,NJ,98949,80,Rehabilitation ,1.5,None,(724) 309-7823
HOSP00196,Community Hospital,8207 Oak Ave,Houston,NY,25902,521,Teaching,4.9,CARF,(974) 817-7741
HOSP00197,Metro Medical Center,1402 Hill St,,TX,22200,903,Trauma Center,2.9,joint commission,(215) 190-1566
HOSP00198,Regional Medical Center,6240 Park St,Phoenix,WA,23652,776,Psychiatric,, ,(645) 481-1214
HOSP00199,Regional Medical Center,2535 Hill St,Phoenix,MI ,44564,770,Community,2.6,,(315) 784-8156
HOSP00200,Lakeside Health,3985 Oak St,Dallas ,VA,92246,592,Rehabilitation,4.0,None,(457) 768-5589
HOSP00201,Regional Medical Center,5787 Oak Ave,,NJ,43654,,,4.0,joint commission,(342) 849-1399
HOSP00202,Metro Medical Center,1635 Elm St,Phoenix,WA,89613,302,Psychiatric,1.1,CARF,(263) 566-8086
HOSP00203,,4484 Park St,Chicago ,OH ,30572,255,Psychiatric,4.1,None,(627) 389-7076
HOSP00204,City Health Clinic,2636 Park Ave,Los Angeles ,OH,22231,1005,Rehabilitation,4.7,joint commission,
HOSP00205,Mercy Hospital,2104 Lake St,Los Angeles,NJ,56658,131,Trauma Center,3.3,DNV,(825) 600-7104
HOSP00206,St. Mary Medical Center,23 Park St,Chicago,IL,36902,912,Specialty ,3.1,JCI,(574) 219-5499
HOSP00207,City Health Clinic,648 Hill Ave,New York,MI,,399,Community,1.2,joint commission,(666) 447-5501
HOSP00208,General Hospital,6186 Main St,Los Angeles,VA,39895,461,Specialty,4.3,joint commission,(344) 769-6417
HOSP00209,Regional Medical Center,5797 Main Ave,Houston,,10356,1056,,1.2,DNV,(941) 377-3079
HOSP00210,St. Mary Medical Center ,1333 Oak Ave,Chicago,PA,59033,412,Community,3.3,JCI,(419) 578-5072
HOSP00211,Metro Medical Center,5697 Park Ave,Dallas,CA,33804,340,Trauma Center,2.3,CARF,(785) 263-7154
HOSP00212,Regional Medical Center,2303 Hill Ave,Chicago,IL,25414,945,General,1.8,DNV,(884) 972-4544
HOSP00213,Mercy Hospital,8379 Lake Ave,Chicago,TX,86126,73,Trauma Center,n/a,,(950) 692-1039
HOSP00214,Lakeside Health,3199 Park Ave,Houston,MI,83527,102,Rehabilitation,1.2,joint commission,(627) 412-9935
HOSP00215,Metro Medical Center,8424 Lake Ave,Chicago,TX,99029,770,Community,4.9,Joint Commission,(580) 997-1916
HOSP00216,Valley View Hospital,689 Main Ave,Dallas,NC,35485,513,Psychiatric,N/A,Joint Commission,(604) 622-4211
HOSP00217,Community Hospital ,4733 Elm St,Los Angeles,NY,70434,391,,4.6,joint commission,(973) 979-2582
HOSP00218,St. Mary Medical Center,8553 Hill Ave,New York,GA,85662,592,Teaching,4.1,JCI,(894) 361-2201
HOSP00219,Mercy Hospital,8691 Hill St,Houston,OH,93133,1003,Psychiatric,2.0,,(278) 399-9411
HOSP00220,Mercy Hospital,2631 Oak St,Dallas,PA,28940,549,,3.4,None,
HOSP00221,,251 Main St,New York,NY,80201,563,Trauma Center,2.8,,(664) 260-7468
HOSP00222,,8463 Hill St,New York,FL,46282,223,Trauma Center,4.6,,(578) 280-4577
HOSP00223,Sunrise Medical,6526 Oak St,Chicago,MA,63239,927,General,N/A,None,(476) 600-3026
HOSP00224,Sunrise Medical,2668 Elm Ave,Phoenix,NY,12358,557,Teaching,4.2,CARF,(891) 469-5674
HOSP00225,Regional Medical Center,966 Elm Ave,Houston,MA,22986,331,Trauma Center,3.4,JCI,(888) 271-5487
HOSP00226,Community Hospital,9057 Hill Ave,Los Angeles,NJ,27151,520,Specialty,1.3,JCI,(927) 372-8123
HOSP00227,Metro Medical Center,2320 Elm Ave,Chicago,IL,29702,382,Specialty,1.1,joint commission,(881) 410-3600
HOSP00228,Lakeside Health,7906 Lake St,Houston,OH,32754,1111,Psychiatric,3.1,None,(221) 803-9815
HOSP00229,Mercy Hospital,722 Lake St,Dallas,NC,74796,348,Community,1.1,,(204) 839-1829
HOSP00230,Sunrise Medical,7343 Park St,New York,TX,86998,410,Community,4.0,,(897) 932-8820
HOSP00231,Metro Medical Center,4650 Main St,Phoenix,WA,52682,738,Teaching,2.2,JCI,(268) 575-8179
HOSP00232,St. Mary Medical Center,6860 Main St,Chicago,,80203,245,Teaching,4.1,None,(833) 484-2826
HOSP00233,,2415 Oak Ave,Dallas,,96945,600,General,2.2,CARF ,(524) 778-8506
HOSP00234,,3832 Oak Ave,Phoenix,,36379,203,Psychiatric,4.6,,(550) 894-5197
HOSP00235,Sunrise Medical,8116 Hill St,Los Angeles,NJ,96012,366,Teaching,1.8,joint commission,(301) 193-4466
HOSP00236,Regional Medical Center,2380 Park Ave,Dallas,CA,42339,236,Rehabilitation,2.8,Joint Commission,(631) 662-2350
HOSP00237,VALLEY VIEW HOSPITAL,2991 Lake St,Dallas,,54822,299,Specialty,3.9,CARF,(932) 387-6062
HOSP00238,City Health Clinic,4257 Park St,New York,PA,63319,419,Psychiatric,5.0,JCI,(620) 402-4564
HOSP00239,Metro Medical Center,7648 Hill St,Phoenix,NJ,82479,833,Rehabilitation,4.2,DNV,(423) 908-8412
HOSP00240,Community Hospital,2752 Elm Ave,Dallas,AZ,13617,208,Rehabilitation,,JCI,(508) 638-6638
HOSP00241,Regional Medical Center,7481 Hill Ave,New York,,80251,668,Community,3.6,None,(205) 310-2501
