Accreditation,Address,Sum of Bed_Count,City,Hospital_ID,Hospital_Name,Hospital_Type,Phone,Sum of Rating,State,Zip_Code
CARF,3242 Elm Ave,60,Unknown,HOSP00532,Sunrise Medical,Specialty,(878) 306-4390,0,TX,39648
CARF,3243 Elm Ave,315,Houston,HOSP00370,REGIONAL MEDICAL CENTER,Teaching,(799) 465-3049,3.2,GA,35441
CARF,33 Main Ave,190,Houston,HOSP00547,Lakeside Health,Rehabilitation,(979) 727-9845,4.4,VA,51533
CARF,3317 Hill St,0,Phoenix,HOSP00295,Valley View Hospital,Community,(675) 333-5169,3.6,WA,96355
CARF,3323 Oak St,249,Los Angeles,HOSP00065,General Hospital,Psychiatric ,(669) 465-3137,1.8,VA,81981
CARF,3424 Park St,0,Dallas,HOSP00719,City Health Clinic,Unknown,(420) 878-7758,3.3,NC,0
CARF,3442 Main St,835,Chicago,HOSP00590,REGIONAL MEDICAL CENTER,Specialty,(666) 319-8896,3.9,VA,11189
CARF,3449 Main Ave,897,Los Angeles,HOSP00850,Sunrise Medical,General,(454) 889-4283,2.2,VA,77127
CARF,3516 Lake Ave,396,Houston,HOSP00079,Community Hospital,Specialty,Unknown,3.8,NJ,45325
CARF,3955 Lake St,530,Dallas ,HOSP00170,Sunrise Medical,Rehabilitation,(911) 604-8069,4.7,MA,86716
CARF,397 Oak Ave,467,Chicago,HOSP00791,Lakeside Health,Specialty,(970) 563-2550,4.8,MA,17189
CARF,3981 Hill Ave,593,Unknown,HOSP00056,City Health Clinic,General,(535) 582-8908,1.6,VA,10107
CARF,3991 Oak St,808,New York,HOSP00268,St. Mary Medical Center,Trauma Center,(447) 956-4264,2.2,NC,24301
CARF,4189 Main Ave,383,Chicago,HOSP00260,Mercy Hospital,General,(518) 988-5818,1.4,WA,13072
CARF,4461 Oak Ave,1170,Houston,HOSP00872,REGIONAL MEDICAL CENTER,Specialty,(409) 944-4877,1.1,OH,56448
CARF,4474 Park St,682,Los Angeles,HOSP00157,General Hospital,Teaching,(333) 233-1169,2.7,NJ ,55494
CARF,449 Main St,441,Los Angeles,HOSP00067,Valley View Hospital,General,(479) 935-4848,4.8,GA,58619
CARF,450 Main Ave,0,Phoenix,HOSP00919,Lakeside Health,Rehabilitation,(702) 412-8041,2.8,WA,51445
CARF,451 Elm St,585,Dallas,HOSP00093,Sunrise Medical,Teaching,(351) 771-6252,3.7,MA,82425
CARF,4587 Hill St,943,Unknown,HOSP00783,Lakeside Health,Community,(366) 528-6989,3.5,NC,85318
CARF,4726 Lake St,615,Houston,HOSP00907,General Hospital,Unknown,(572) 471-1082,1.5,OH,34386
CARF,4771 Elm Ave,884,Phoenix,HOSP00272,Lakeside Health,Specialty,(951) 260-6114,3.2,TX,82747
CARF,4809 Main Ave,180,Chicago,HOSP00027,St. Mary Medical Center,Rehabilitation,(281) 293-7447,3.3,AZ,95046
CARF,4865 Elm St,684,Houston,HOSP00266,Metro Medical Center,Community,(915) 202-9354,2.8,GA,85626
CARF,4921 Hill Ave,670,Dallas,HOSP00918,Unknown,Teaching,(754) 567-7947,1.5,AZ,34497
CARF,4949 Park St,382,Los Angeles,HOSP00683,REGIONAL MEDICAL CENTER,General,(216) 378-6890,4.9,NC,60583
CARF,5045 Main St,362,Dallas ,HOSP00329,General Hospital,Trauma Center,(553) 153-2569,3.5,AZ,58165
CARF,516 Hill Ave,1023,Dallas,HOSP00860,Unknown,Trauma Center,(574) 460-2341,4.8,AZ,12649
CARF,525 Elm St,870,Phoenix,HOSP00183,REGIONAL MEDICAL CENTER,Community,(781) 687-2865,0,NY,85089
CARF,5298 Main St,247,Los Angeles,HOSP00699,Sunrise Medical,Rehabilitation,(609) 493-2780,4.7,NY,27526
CARF,542 Park Ave,659,Phoenix,HOSP00548,Community Hospital,Trauma Center,(909) 498-4803,4.8,Unknown,10939
CARF,5477 Main Ave,872,Dallas,HOSP00121,Sunrise Medical,Teaching,(992) 577-1295,2.8,NY,0
CARF,5566 Hill St,725,Chicago,HOSP00278,Metro Medical Center,Trauma Center,(432) 421-5876,2.5,MI,18701
CARF,5627 Hill St,313,New York,HOSP00757,Mercy Hospital,Specialty,(390) 412-7954,4.3,NY,55326
CARF,5697 Park Ave,340,Dallas,HOSP00211,Metro Medical Center,Trauma Center,(785) 263-7154,2.3,CA,33804
CARF,5733 Lake St,257,Unknown,HOSP00969,Unknown,Teaching,(778) 244-9398,4.8,CA,18224
CARF,5756 Elm St,731,New York,HOSP00861,Lakeside Health,Teaching,(501) 535-6190,4.6,OH,99563
CARF,5859 Lake St,513,Houston,HOSP00956,Lakeside Health,Specialty,(541) 300-6702,1.7,PA,91274
CARF,6023 Oak Ave,229,Los Angeles,HOSP00902,City Health Clinic,Psychiatric,(207) 783-1586,4.4,PA,78986
CARF,6057 Main St,98,Dallas,HOSP00296,St. Mary Medical Center,Teaching,(963) 435-8861,1.6,NC,35173
CARF,6076 Main St,112,Dallas,HOSP00670,Mercy Hospital,Unknown,(909) 720-3147,4.2,TX,40631
CARF,6119 Hill Ave,311,Chicago,HOSP00892,Community Hospital,Teaching,(293) 245-4686,1.4,Unknown,35861
CARF,6142 Lake St,294,Los Angeles,HOSP00275,Sunrise Medical,Trauma Center,(621) 167-5266,1.9,VA,66614
CARF,6164 Main Ave,811,Los Angeles,HOSP00957,Unknown,Psychiatric,(633) 295-8465,3.7,PA,57251
CARF,6249 Hill St,670,Dallas,HOSP00797,Sunrise Medical,Teaching,(481) 428-3352,3.8,NC,96968
CARF,6326 Oak Ave,766,New York,HOSP00254,Metro Medical Center,Psychiatric,(688) 241-5219,4,AZ,81615
CARF,6500 Hill Ave,887,Los Angeles ,HOSP00265,General Hospital,Psychiatric,(722) 593-1932,2.7,NJ,31689
CARF,6595 Main Ave,1032,New York,HOSP00941,General Hospital,Specialty,(255) 120-4998,1.2,NC,81503
CARF,6600 Main St,449,Los Angeles,HOSP00859,Metro Medical Center,Psychiatric,(785) 963-5967,3.7,Unknown,51873
CARF,6663 Park St,587,Los Angeles,HOSP00051,Lakeside Health,Community,(862) 657-7157,4.4,TX,60491
CARF,6713 Oak Ave,561,Phoenix,HOSP00762,General Hospital,Psychiatric,(705) 320-7111,1.2,IL,0
CARF,6734 Park St,743,Phoenix,HOSP00901,City Health Clinic,Rehabilitation,(806) 416-5765,3.8,CA,63960
CARF,694 Park St,314,Unknown,HOSP00587,Metro Medical Center ,Rehabilitation,(361) 414-7556,3.6,PA,47426
CARF,6993 Hill Ave,715,Chicago,HOSP00282,REGIONAL MEDICAL CENTER,General,(888) 703-8357,2.3,VA,50983
CARF,7002 Hill Ave,710,Unknown,HOSP00921,City Health Clinic,Trauma Center,(783) 983-9144,4.8,Unknown,61257
CARF,7045 Lake Ave,1190,New York,HOSP00058,Regional Medical Center ,Teaching,Unknown,3.5,GA,21613
CARF,7057 Lake St,1153,Phoenix,HOSP00395,St. Mary Medical Center,Teaching,Unknown,4.1,WA,92720
CARF,7133 Hill Ave,187,Dallas,HOSP00605,Mercy Hospital,Psychiatric,(844) 578-6715,2.9,NC,44033
CARF,7178 Oak St,351,Los Angeles,HOSP00934,St. Mary Medical Center,Community,(468) 753-3096,4.6,WA,81788
CARF,7389 Park St,641,Dallas,HOSP00769,Sunrise Medical,Teaching,(542) 246-9769,4.7,OH,71028
CARF,7416 Lake Ave,608,Dallas,HOSP00647,Unknown,General,(536) 606-8169,3.3,Unknown,99594
CARF,7493 Oak Ave,1147,Dallas,HOSP00692,Community Hospital,Community,(242) 152-2053,3.5,FL,41324
CARF,75 Park St,748,Dallas,HOSP00742,Unknown,Specialty,(997) 116-7450,3.4,VA,38828
CARF,750 Park Ave,94,Dallas,HOSP00006,Community Hospital,Teaching,Unknown,3.5,NJ,70026
CARF,7695 Oak St,0,Los Angeles,HOSP00676,Lakeside Health ,Teaching,(693) 760-3744,0,NY,62792
CARF,7756 Elm St,485,New York,HOSP00551,Mercy Hospital,Trauma Center,(936) 995-1043,3,OH,71782
CARF,7815 Park Ave,88,Phoenix,HOSP00015,Sunrise Medical,Psychiatric,(575) 797-9244,4.6,WA ,72950
CARF,7867 Main St,0,Phoenix,HOSP00262,REGIONAL MEDICAL CENTER,Community,(846) 358-6045,0,CA,87799
CARF,7996 Hill Ave,876,Chicago,HOSP00932,Metro Medical Center,Trauma Center,(406) 645-1206,3,WA,43921
CARF,8027 Elm St,1119,Phoenix,HOSP00527,City Health Clinic,Specialty,(703) 674-4658,2.5,FL,15208
CARF,8067 Main Ave,626,New York,HOSP00086,Mercy Hospital,General,(782) 821-2709,4.1,NY,70437
CARF,8071 Main St,189,Houston ,HOSP00323,City Health Clinic,Community,(695) 780-4097,2.3,NY,81605
CARF,8161 Main Ave,945,Los Angeles,HOSP00542,REGIONAL MEDICAL CENTER,Unknown,(737) 825-9551,1.5,VA,42893
CARF,8207 Oak Ave,521,Houston,HOSP00196,Community Hospital,Teaching,(974) 817-7741,4.9,NY,25902
CARF,8231 Hill St,241,New York,HOSP00999,Mercy Hospital,Unknown,(772) 172-1065,3.1,CA,76938
CARF,8270 Lake St,460,Chicago,HOSP00287,Sunrise Medical,Unknown,(371) 348-2923,1.4,NC,46414
CARF,8305 Main St,490,Houston,HOSP00369,General Hospital,General,(247) 177-4275,3.1,Unknown,14280
CARF,8339 Park St,1067,Los Angeles,HOSP00283,Mercy Hospital,Trauma Center ,(693) 571-2093,2.7,OH,12738
CARF,8352 Elm St,360,New York,HOSP00882,Lakeside Health,General,(345) 758-7807,2.1,IL,10629
CARF,853 Lake St,178,Chicago,HOSP00798,Community Hospital,Specialty,(725) 150-2196,2.5,VA,26307
CARF,8548 Oak St,753,Phoenix,HOSP00034,St. Mary Medical Center,Trauma Center,(227) 833-8722,2,MI,11741
CARF,858 Main St,424,Dallas,HOSP00117,St. Mary Medical Center,Specialty,(811) 543-3073,1.8,CA,45698
CARF,8652 Lake St,355,Dallas,HOSP00417,Community Hospital,Community,(635) 318-8699,4.7,MA,58704
CARF,8653 Park St,370,Dallas,HOSP00610,Sunrise Medical,Specialty,(998) 556-5759,3.6,NJ,0
CARF,8713 Elm St,1112,New York,HOSP00404,General Hospital,General,(472) 478-5799,2.3,NJ,78678
CARF,8853 Main St,247,Chicago,HOSP00450,Community Hospital,Specialty,Unknown,0,GA,52133
CARF,8874 Oak St,223,Phoenix,HOSP00373,City Health Clinic,General,(821) 813-3774,4.4,IL,81954
CARF,895 Elm St,538,Houston,HOSP00979,St. Mary Medical Center,Specialty,(897) 654-3136,4.6,CA,15045
CARF,8977 Park Ave,658,Dallas,HOSP00733,REGIONAL MEDICAL CENTER,Community,(451) 924-2967,1.1,CA,80005
CARF,8987 Hill Ave,1185,Phoenix,HOSP00304,Community Hospital,Rehabilitation,(296) 184-8002,4.7,IL,39953
CARF,8988 Hill Ave,521,Houston,HOSP00732,Unknown,Community,(239) 227-8013,2.7,Unknown,69547
CARF,8999 Lake St,600,Unknown,HOSP00592,Valley View Hospital,Community,(824) 843-1421,3.8,IL,11251
CARF,9059 Oak Ave,1091,New York,HOSP00050,Community Hospital,Trauma Center,(949) 183-7157,1.6,CA,69304
CARF,9060 Park Ave,115,Dallas,HOSP00400,Lakeside Health,Unknown,(417) 816-1734,4.8,NJ,0
CARF,9214 Oak Ave,876,Dallas,HOSP00927,Lakeside Health,Teaching,(449) 148-9018,1.3,IL,43368
CARF,9316 Elm St,791,Phoenix,HOSP00913,REGIONAL MEDICAL CENTER,Trauma Center,(571) 289-1059,2.5,TX,64174
CARF,9371 Hill Ave,172,Chicago,HOSP00081,General Hospital,Psychiatric,(505) 328-8781,4.1,OH,34207
CARF,9483 Hill St,1014,Unknown,HOSP00844,Valley View Hospital,Community,(280) 228-5101,1.2,VA,25720
CARF,9516 Park Ave,712,Dallas,HOSP01000,Metro Medical Center,Specialty,(879) 363-5957,2.6,IL,63262
CARF,9538 Main St,703,Phoenix,HOSP00085,St. Mary Medical Center,Trauma Center,(408) 251-5422,3.5,VA,98674
CARF,9707 Park St,1120,Houston,HOSP00355,General Hospital,Specialty,(228) 193-7670,2.8,NJ,28748
CARF,9974 Hill Ave,1048,Unknown,HOSP00787,Sunrise Medical,Specialty,(752) 434-1646,3.5,AZ,65337
CARF ,5557 Hill St,455,Los Angeles,HOSP00574,Sunrise Medical,General,(389) 245-9531,3.6,NY,87694
DNV,1066 Main Ave,614,Houston,HOSP00156,Metro Medical Center,Trauma Center,(561) 619-5939,3.1,MA,57694
DNV,1282 Park Ave,862,Chicago,HOSP00139,Lakeside Health,Psychiatric,(794) 542-7304,2.5,TX,52524
DNV,1469 Elm Ave,370,Dallas,HOSP00635,Valley View Hospital,Unknown,(641) 255-6288,2.1,CA,64878
DNV,1493 Hill St,226,Houston,HOSP00331,Mercy Hospital,Specialty,(420) 464-2269,3.5,TX,12866
DNV,1532 Main St,400,Dallas,HOSP00468,Mercy Hospital,Unknown,(270) 492-9313,2.8,MI,64246
DNV,1567 Lake Ave,930,Houston,HOSP00565,Community Hospital,Rehabilitation,(886) 895-4100,3.8,NJ,54490
DNV,1635 Park Ave,339,Houston,HOSP00122,St. Mary Medical Center,Trauma Center,(284) 671-6142,1.7,Unknown,92128
DNV,177 Elm Ave,796,Phoenix,HOSP00044,Community Hospital ,Specialty,(678) 635-4140,4.2,IL,17075
DNV,1797 Elm St,0,Dallas,HOSP00761,General Hospital,Teaching,(820) 648-8527,3,AZ,28140
DNV,1856 Elm Ave,300,Chicago,HOSP00107,Mercy Hospital,Trauma Center,(346) 993-8937,3,NY,93687
DNV,1967 Park Ave,1092,Phoenix,HOSP00837,City Health Clinic,Teaching,(639) 702-1275,2.1,IL,56099
DNV,2026 Lake Ave,890,Unknown,HOSP00650,Community Hospital,Psychiatric,(608) 232-9538,1.4,FL,74200
DNV,2087 Main St,106,Chicago,HOSP00938,Sunrise Medical,Rehabilitation,(489) 350-9991,3.6,CA,62170
DNV,2104 Lake St,131,Los Angeles,HOSP00205,Mercy Hospital,Trauma Center,(825) 600-7104,3.3,NJ,56658
DNV,2303 Hill Ave,945,Chicago,HOSP00212,REGIONAL MEDICAL CENTER,General,(884) 972-4544,1.8,IL,25414
DNV,2459 Main St,986,Dallas,HOSP00140,Community Hospital,General,(765) 808-9750,1.1,IL,76266
DNV,2496 Hill St,647,Chicago,HOSP00521,Unknown,Specialty,(608) 111-1635,3.3,NC,26441
DNV,2498 Hill Ave,440,Houston,HOSP00274,Community Hospital ,Trauma Center,(739) 560-9450,1.9,MA,35843
DNV,2523 Oak Ave,1146,Phoenix,HOSP00557,Community Hospital,Psychiatric,(642) 254-2430,3.1,Unknown,76670
DNV,2576 Hill Ave,502,Los Angeles,HOSP00536,Metro Medical Center,Community,(677) 158-7564,3,OH,73159
DNV,2637 Main St,0,Phoenix,HOSP00490,Lakeside Health,Teaching,(943) 720-9136,3.9,PA,66154
DNV,2649 Elm Ave,780,Los Angeles,HOSP00442,City Health Clinic,Psychiatric,(719) 671-2767,4.5,NC,81495
DNV,2732 Oak Ave,463,Phoenix,HOSP00891,Metro Medical Center,Psychiatric,(828) 315-4850,4.3,CA,26594
DNV,278 Park Ave,563,Los Angeles,HOSP00821,Sunrise Medical,Specialty,(749) 588-2209,2.2,TX,95830
DNV,2894 Main St,490,New York,HOSP00666,Mercy Hospital,Teaching,(335) 182-9617,3,Unknown,23428
DNV,2982 Oak Ave,935,Los Angeles,HOSP00415,Community Hospital,Psychiatric,(298) 835-4650,4.8,OH ,84385
DNV,3039 Lake Ave,829,Houston,HOSP00049,Metro Medical Center,General,(656) 336-6280,3.1,CA,36955
DNV,3102 Elm St,800,Los Angeles,HOSP00256,Sunrise Medical ,General,(540) 676-9922,2.5,MI,43359
DNV,3159 Park St,144,New York,HOSP00588,Valley View Hospital,Specialty,(588) 356-6193,2.7,IL,91947
DNV,3232 Hill St,469,Los Angeles,HOSP00826,St. Mary Medical Center,Psychiatric,(595) 742-4667,1.6,VA,10414
DNV,3379 Lake Ave,197,Houston,HOSP00899,St. Mary Medical Center,Trauma Center,(700) 916-5753,1.2,IL,43976
DNV,3400 Main St,67,New York,HOSP00975,Sunrise Medical,Trauma Center,(460) 385-7072,1.4,WA,53094
DNV,3487 Hill St,614,Dallas,HOSP00385,Lakeside Health,Rehabilitation,(744) 113-6700,0,WA,47260
DNV,359 Hill St,497,Los Angeles,HOSP00172,City Health Clinic,Community,(248) 890-1581,0,NJ,26468
DNV,3615 Oak St,253,Chicago,HOSP00898,Sunrise Medical,General,(244) 421-5621,1.6,FL,77712
DNV,3624 Lake Ave,553,Unknown,HOSP00591,Metro Medical Center,Rehabilitation,(305) 235-2455,1.7,PA,93222
DNV,3638 Lake St,215,Los Angeles,HOSP00253,REGIONAL MEDICAL CENTER,Trauma Center,(513) 464-8567,2,MA,63536
DNV,3646 Hill St,442,Chicago,HOSP00715,Community Hospital,Teaching,(649) 440-9327,2.5,AZ,54848
DNV,3680 Park St,1108,Unknown,HOSP00384,City Health Clinic,Psychiatric,(351) 261-6583,0,NC,17629
DNV,3698 Park Ave,118,Los Angeles,HOSP00564,General Hospital,Teaching,(756) 122-9558,3.3,Unknown,44395
DNV,3752 Main St,497,Unknown,HOSP00575,General Hospital,Specialty,(655) 115-2406,4.9,CA,45167
DNV,3781 Park St,374,Dallas,HOSP00980,Community Hospital,Rehabilitation,(994) 917-8210,2.3,MI,63939
DNV,3786 Oak Ave,0,Houston,HOSP00967,Community Hospital,Specialty,(977) 467-7393,1.8,AZ,16900
DNV,380 Oak St,359,Houston,HOSP00128,REGIONAL MEDICAL CENTER,General,(421) 643-5477,4.3,FL ,27760
DNV,3808 Oak Ave,1124,Los Angeles,HOSP00251,Lakeside Health,Psychiatric,(829) 656-3515,1.5,GA,93921
DNV,398 Main Ave,366,Houston,HOSP00248,St. Mary Medical Center,Psychiatric,(708) 178-9305,1.2,FL,49454
DNV,4047 Elm Ave,848,Phoenix,HOSP00976,General Hospital ,Trauma Center,(574) 132-1272,2.3,PA,28561
DNV,4058 Park St,0,New York,HOSP00299,General Hospital,Psychiatric,(761) 765-2358,3.4,TX,23402
DNV,4156 Lake St,112,Houston,HOSP00808,REGIONAL MEDICAL CENTER,Unknown,(271) 692-3064,3.3,FL,66866
DNV,4216 Oak St,999,Unknown,HOSP00124,REGIONAL MEDICAL CENTER,Specialty,(244) 289-9309,4.6,GA,33315
DNV,4235 Elm Ave,541,Chicago,HOSP00634,General Hospital,Psychiatric,(279) 512-5136,1.8,IL ,78625
DNV,4257 Hill Ave,398,Dallas,HOSP00643,Metro Medical Center,Unknown,(457) 874-2067,2.9,AZ,43632
DNV,4289 Park Ave,73,New York,HOSP00063,REGIONAL MEDICAL CENTER,Unknown,(563) 716-5657,0,OH,71469
DNV,4343 Elm St,233,Phoenix,HOSP00042,City Health Clinic,Teaching,(655) 457-2516,2.9,MA,97703
DNV,4351 Lake St,888,Dallas,HOSP00764,General Hospital,Teaching,(935) 916-4689,3.8,CA,89540
DNV,4393 Oak Ave,369,Unknown,HOSP00255,Valley View Hospital,Community,(723) 737-9088,2.7,VA,84296
DNV,4413 Lake St,328,Chicago,HOSP00054,Mercy Hospital,Psychiatric,(417) 268-7777,3.2,AZ,36723
DNV,4614 Oak Ave,861,Chicago,HOSP00016,General Hospital,Specialty,(434) 538-1911,0,Unknown,58282
DNV,4614 Park Ave,824,Phoenix,HOSP00346,Metro Medical Center,Community,(715) 370-5854,4.3,NY,22119
DNV,4619 Main St,356,Chicago,HOSP00459,Unknown,Psychiatric,(393) 979-9292,2.8,CA,34733
DNV,4650 Oak Ave,959,New York,HOSP00685,General Hospital,Teaching,(803) 781-1431,4.4,CA,16913
DNV,4681 Elm Ave,975,Phoenix,HOSP00612,Mercy Hospital,Rehabilitation,(856) 535-1395,4,MI,80894
DNV,4684 Elm Ave,331,Phoenix,HOSP00039,Lakeside Health,Psychiatric,(584) 651-5649,2.2,VA,19783
DNV,4906 Elm St,990,Phoenix,HOSP00829,Valley View Hospital,Community ,(623) 891-5443,4.7,NC,12856
DNV,4972 Lake St,378,Dallas,HOSP00320,St. Mary Medical Center,Specialty,(752) 430-9761,1.8,CA,56452
DNV,5009 Main St,1032,New York,HOSP00363,REGIONAL MEDICAL CENTER,Psychiatric,(371) 950-9354,1.5,Unknown,71853
DNV,521 Oak Ave,1019,Chicago,HOSP00937,St. Mary Medical Center,Psychiatric,(367) 312-9991,4.8,FL,73470
DNV,5314 Hill Ave,421,Houston,HOSP00789,Lakeside Health,Community,(992) 919-1628,2.8,OH,93992
DNV,5376 Oak Ave,1077,Chicago,HOSP00367,City Health Clinic,Unknown,(253) 193-2496,2,IL,90816
DNV,5432 Oak St,511,Chicago,HOSP00529,REGIONAL MEDICAL CENTER,Rehabilitation,(216) 801-4835,2.1,OH,21004
DNV,5493 Hill Ave,879,Dallas,HOSP00398,Unknown,Trauma Center,(673) 259-4278,3.5,OH,99546
DNV,5565 Main St,357,Unknown,HOSP00290,Sunrise Medical,Rehabilitation,(255) 289-8769,0,AZ,16477
DNV,5587 Lake St,299,Dallas,HOSP00953,City Health Clinic,Psychiatric,(940) 115-2135,1.8,WA,65191
DNV,5590 Main Ave,0,Houston,HOSP00838,Valley View Hospital,Psychiatric,(841) 806-3517,3.6,Unknown,53616
DNV,5690 Elm St,0,New York,HOSP00568,REGIONAL MEDICAL CENTER,Rehabilitation,(945) 466-8076,2.1,OH,25392
DNV,5702 Oak St,834,Phoenix,HOSP00665,Lakeside Health,Rehabilitation,(655) 166-3299,2.1,IL,39263
DNV,5752 Lake St,867,Dallas,HOSP00869,City Health Clinic,Psychiatric,(848) 594-4758,1.7,Unknown,16673
DNV,5797 Main Ave,1056,Houston,HOSP00209,REGIONAL MEDICAL CENTER,Unknown,(941) 377-3079,1.2,Unknown,10356
DNV,587 Oak Ave,170,Houston,HOSP00933,REGIONAL MEDICAL CENTER,General,(908) 556-5044,4.9,PA,31040
DNV,5895 Hill Ave,220,Houston,HOSP00350,Sunrise Medical ,Psychiatric,(770) 220-3741,1.7,GA,13839
DNV,5972 Main Ave,256,Chicago,HOSP00495,Community Hospital,Teaching,(501) 182-6095,3.7,Unknown,36504
DNV,6013 Lake St,453,New York,HOSP00353,General Hospital,Psychiatric,(877) 105-3898,3,OH,65011
DNV,6050 Elm Ave,560,Chicago,HOSP00394,Mercy Hospital,Rehabilitation,(865) 548-1627,3.7,WA,69486
DNV,6105 Oak St,357,Dallas,HOSP00492,Metro Medical Center,Trauma Center,(715) 406-6302,4.2,MA,0
DNV,6153 Oak Ave,1040,Los Angeles,HOSP00062,General Hospital,Teaching,(494) 393-5930,4.5,IL,53690
DNV,6161 Park Ave,0,New York,HOSP00709,Community Hospital,Teaching,(414) 800-7628,1.8,MA,74238
DNV,6216 Park Ave,0,Unknown,HOSP00911,Sunrise Medical,Community,(603) 460-9531,4.6,NC,28551
DNV,6267 Oak Ave,938,Los Angeles,HOSP00429,Community Hospital,Community,(383) 458-4638,3.1,Unknown,0
DNV,6357 Lake Ave,380,Houston,HOSP00948,Mercy Hospital,Trauma Center,(465) 718-7134,2.6,Unknown,22663
DNV,6489 Hill St,909,New York,HOSP00277,REGIONAL MEDICAL CENTER,Psychiatric,(281) 541-1815,3.2,NC,25582
DNV,6521 Park St,926,New York,HOSP00582,General Hospital,Psychiatric,(629) 970-9458,2.8,MA,10109
DNV,6617 Hill St,227,Chicago,HOSP00855,Unknown,Community,(639) 686-7592,3.6,NC,65245
DNV,6680 Lake St,81,Unknown,HOSP00009,Valley View Hospital,Rehabilitation,(572) 766-1474,0,FL,33773
DNV,6763 Lake St,1158,Phoenix,HOSP00931,City Health Clinic,Psychiatric,(407) 746-1058,4.8,NJ,72997
DNV,6925 Oak St,1186,Chicago,HOSP00488,Sunrise Medical,Unknown,(304) 743-2028,4.9,MA,92182
DNV,7023 Hill St,0,Houston,HOSP00535,Sunrise Medical,Trauma Center,(215) 654-4357,5,Unknown,70244
DNV,7109 Main Ave,916,Houston,HOSP00632,City Health Clinic,Trauma Center,(432) 761-1254,3.2,IL,99870
DNV,715 Main St,1027,Dallas,HOSP00868,Lakeside Health,Rehabilitation,(484) 990-6924,3.2,WA,18052
DNV,7188 Park Ave,797,Phoenix,HOSP00294,Community Hospital,Specialty,(968) 643-1801,3,OH,45233
